timestamp,target,segment
2015-01-01,329,Finland_KaggleMart_Kaggle Mug
2015-01-01,520,Finland_KaggleMart_Kaggle Hat
2015-01-01,146,Finland_KaggleMart_Kaggle Sticker
2015-01-01,572,Finland_KaggleRama_Kaggle Mug
2015-01-01,911,Finland_KaggleRama_Kaggle Hat
2015-01-01,283,Finland_KaggleRama_Kaggle Sticker
2015-01-01,526,Norway_KaggleMart_Kaggle Mug
2015-01-01,906,Norway_KaggleMart_Kaggle Hat
2015-01-01,250,Norway_KaggleMart_Kaggle Sticker
2015-01-01,1005,Norway_KaggleRama_Kaggle Mug
2015-01-01,1461,Norway_KaggleRama_Kaggle Hat
2015-01-01,395,Norway_KaggleRama_Kaggle Sticker
2015-01-01,440,Sweden_KaggleMart_Kaggle Mug
2015-01-01,624,Sweden_KaggleMart_Kaggle Hat
2015-01-01,175,Sweden_KaggleMart_Kaggle Sticker
2015-01-01,706,Sweden_KaggleRama_Kaggle Mug
2015-01-01,1195,Sweden_KaggleRama_Kaggle Hat
2015-01-01,324,Sweden_KaggleRama_Kaggle Sticker
2015-01-02,318,Finland_KaggleMart_Kaggle Mug
2015-01-02,493,Finland_KaggleMart_Kaggle Hat
2015-01-02,127,Finland_KaggleMart_Kaggle Sticker
2015-01-02,544,Finland_KaggleRama_Kaggle Mug
2015-01-02,794,Finland_KaggleRama_Kaggle Hat
2015-01-02,249,Finland_KaggleRama_Kaggle Sticker
2015-01-02,538,Norway_KaggleMart_Kaggle Mug
2015-01-02,845,Norway_KaggleMart_Kaggle Hat
2015-01-02,237,Norway_KaggleMart_Kaggle Sticker
2015-01-02,949,Norway_KaggleRama_Kaggle Mug
2015-01-02,1446,Norway_KaggleRama_Kaggle Hat
2015-01-02,415,Norway_KaggleRama_Kaggle Sticker
2015-01-02,384,Sweden_KaggleMart_Kaggle Mug
2015-01-02,572,Sweden_KaggleMart_Kaggle Hat
2015-01-02,155,Sweden_KaggleMart_Kaggle Sticker
2015-01-02,653,Sweden_KaggleRama_Kaggle Mug
2015-01-02,986,Sweden_KaggleRama_Kaggle Hat
2015-01-02,293,Sweden_KaggleRama_Kaggle Sticker
2015-01-03,360,Finland_KaggleMart_Kaggle Mug
2015-01-03,535,Finland_KaggleMart_Kaggle Hat
2015-01-03,141,Finland_KaggleMart_Kaggle Sticker
2015-01-03,579,Finland_KaggleRama_Kaggle Mug
2015-01-03,843,Finland_KaggleRama_Kaggle Hat
2015-01-03,265,Finland_KaggleRama_Kaggle Sticker
2015-01-03,614,Norway_KaggleMart_Kaggle Mug
2015-01-03,930,Norway_KaggleMart_Kaggle Hat
2015-01-03,254,Norway_KaggleMart_Kaggle Sticker
2015-01-03,1029,Norway_KaggleRama_Kaggle Mug
2015-01-03,1631,Norway_KaggleRama_Kaggle Hat
2015-01-03,451,Norway_KaggleRama_Kaggle Sticker
2015-01-03,420,Sweden_KaggleMart_Kaggle Mug
2015-01-03,630,Sweden_KaggleMart_Kaggle Hat
2015-01-03,173,Sweden_KaggleMart_Kaggle Sticker
2015-01-03,734,Sweden_KaggleRama_Kaggle Mug
2015-01-03,1167,Sweden_KaggleRama_Kaggle Hat
2015-01-03,319,Sweden_KaggleRama_Kaggle Sticker
2015-01-04,332,Finland_KaggleMart_Kaggle Mug
2015-01-04,544,Finland_KaggleMart_Kaggle Hat
2015-01-04,125,Finland_KaggleMart_Kaggle Sticker
2015-01-04,582,Finland_KaggleRama_Kaggle Mug
2015-01-04,873,Finland_KaggleRama_Kaggle Hat
2015-01-04,245,Finland_KaggleRama_Kaggle Sticker
2015-01-04,589,Norway_KaggleMart_Kaggle Mug
2015-01-04,889,Norway_KaggleMart_Kaggle Hat
2015-01-04,255,Norway_KaggleMart_Kaggle Sticker
2015-01-04,957,Norway_KaggleRama_Kaggle Mug
2015-01-04,1540,Norway_KaggleRama_Kaggle Hat
2015-01-04,455,Norway_KaggleRama_Kaggle Sticker
2015-01-04,406,Sweden_KaggleMart_Kaggle Mug
2015-01-04,697,Sweden_KaggleMart_Kaggle Hat
2015-01-04,169,Sweden_KaggleMart_Kaggle Sticker
2015-01-04,657,Sweden_KaggleRama_Kaggle Mug
2015-01-04,1112,Sweden_KaggleRama_Kaggle Hat
2015-01-04,300,Sweden_KaggleRama_Kaggle Sticker
2015-01-05,243,Finland_KaggleMart_Kaggle Mug
2015-01-05,378,Finland_KaggleMart_Kaggle Hat
2015-01-05,102,Finland_KaggleMart_Kaggle Sticker
2015-01-05,423,Finland_KaggleRama_Kaggle Mug
2015-01-05,668,Finland_KaggleRama_Kaggle Hat
2015-01-05,187,Finland_KaggleRama_Kaggle Sticker
