country,date,precipitation,snow_depth,tavg,tmax,tmin
Finland,1/1/2015,1.714141414,284.5454545,1.428571429,2.912738854,-1.015286624
Finland,1/2/2015,10.01666667,195,0.553571429,2.358598726,-0.998717949
Finland,1/3/2015,3.956060606,284.2941176,-1.739285714,0.820382166,-3.463870968
Finland,1/4/2015,0.246192893,260.7727273,-7.035714286,-3.110828025,-9.502580645
Finland,1/5/2015,0.036363636,236.9,-17.16428571,-8.727564103,-19.00448718
Finland,1/6/2015,1.212626263,241.4761905,-17.47142857,-12.20844156,-21.97961783
Finland,1/7/2015,3.486432161,259.5,-4.453571429,-2.574522293,-14.34487179
Finland,1/8/2015,4.2085,256.55,-1.760714286,-0.732692308,-3.97133758
Finland,1/9/2015,1.923115578,288.5,-3.285714286,-0.582692308,-5.239869281
Finland,1/10/2015,1.515151515,309.4285714,-9.457142857,-4.633974359,-11.5083871
Finland,1/11/2015,0.609090909,283.5,-16.14642857,-10.44423077,-18.8869281
Finland,1/12/2015,2.781218274,294.3913043,-19.425,-15.71633987,-21.31730769
Finland,1/13/2015,2.395477387,307.9545455,-11.56785714,-8.979220779,-19.86153846
Finland,1/14/2015,1.303517588,331.8695652,-5.942857143,-3.897419355,-12.31923077
Finland,1/15/2015,2.352284264,328.826087,-3.496428571,-2.550322581,-5.615483871
Finland,1/16/2015,5.149494949,344.3478261,-0.657142857,0.668387097,-4.242307692
Finland,1/17/2015,2.079292929,321.6086957,0.325,1.374358974,-1.042307692
Finland,1/18/2015,0.795431472,321.2608696,-2.110714286,0.166025641,-4.116993464
Finland,1/19/2015,0.162436548,300.4545455,-10.60357143,-3.230967742,-13.32207792
Finland,1/20/2015,0.01319797,303.1818182,-16.26785714,-11.08387097,-17.49096774
Finland,1/21/2015,0.033502538,299.5454545,-16.44285714,-11.57870968,-19.38258065
Finland,1/22/2015,0.632994924,301.5454545,-17.275,-12.75225806,-20.07692308
Finland,1/23/2015,1.237878788,326.0869565,-14.26785714,-10.79294872,-18.01089744
Finland,1/24/2015,1.434517766,315.7272727,-8.346428571,-5.338064516,-14.44387097
Finland,1/25/2015,0.798477157,323.5454545,-4.510714286,-2.704545455,-7.118064516
Finland,1/26/2015,2.929441624,324.5454545,-2.228571429,-0.941290323,-6.458064516
Finland,1/27/2015,1.766497462,354.7391304,-2.314285714,-0.730769231,-3.916774194
Finland,1/28/2015,4.838888889,363.4347826,-2.221428571,-1.001290323,-4.826923077
Finland,1/29/2015,3.294974874,358.1818182,-2.617857143,-0.76474359,-4.161038961
Finland,1/30/2015,1.479396985,392.6521739,-3.635714286,-2.739354839,-5.158709677
Finland,1/31/2015,3.969387755,418.3043478,-4.628571429,-3.06,-7.838461538
Finland,2/1/2015,3.572361809,403.0454545,-4.896428571,-3.486451613,-6.720779221
Finland,2/2/2015,2.057286432,419.0454545,-6.089285714,-4.371153846,-7.519354839
Finland,2/3/2015,1.3835,440,-6.282142857,-5.082692308,-8.222580645
Finland,2/4/2015,0.348730964,462.1304348,-7.307142857,-5.356774194,-8.755483871
Finland,2/5/2015,1.925380711,439.9090909,-5.792857143,-3.768387097,-9.015483871
Finland,2/6/2015,1.051515152,455.4090909,-2.557142857,0.130128205,-6.550322581
Finland,2/7/2015,1.3575,450.8181818,-1.110714286,1.441025641,-5.879220779
Finland,2/8/2015,0.326767677,451.3181818,-7.207142857,-2.088461538,-11.3961039
Finland,2/9/2015,0.463451777,444.4761905,-6.910714286,-2.672727273,-15.46666667
Finland,2/10/2015,0.476262626,449.0454545,2.317857143,4.429032258,-3.369230769
Finland,2/11/2015,0.191414141,446.1904762,2.017857143,4.131410256,-0.609615385
Finland,2/12/2015,0.241919192,438.3809524,-0.860714286,1.943870968,-3.301935484
Finland,2/13/2015,0.880808081,452.3913043,-4.439285714,-1.284516129,-9.102597403
Finland,2/14/2015,0.756565657,438.4090909,-6.725,-3.044871795,-8.651298701
Finland,2/15/2015,0.006598985,436.0909091,-12.68928571,-4.702580645,-17.93612903
Finland,2/16/2015,0.015736041,436.4545455,-7.264285714,-3.641666667,-13.75897436
Finland,2/17/2015,1.36751269,428.6666667,-3.271428571,-1.757142857,-7.794230769
Finland,2/18/2015,0.370854271,443.173913,-1.35,0.7,-4.468387097
