CMDLINE /Users/a.p.chikov/Library/Caches/pypoetry/virtualenvs/etna-ts-5LkX4_TY-py3.8/bin/python new_logic_copy.py
MEM 0.011719 1653979300.3074
MEM 11.957031 1653979300.4076
MEM 20.910156 1653979300.5088
MEM 29.562500 1653979300.6094
MEM 37.417969 1653979300.7096
MEM 47.945312 1653979300.8098
MEM 60.453125 1653979300.9101
MEM 71.785156 1653979301.0103
MEM 81.558594 1653979301.1109
MEM 90.632812 1653979301.2113
MEM 99.792969 1653979301.3165
MEM 105.980469 1653979301.4217
MEM 114.203125 1653979301.5229
MEM 123.039062 1653979301.6280
MEM 126.250000 1653979301.7332
MEM 127.320312 1653979301.8382
MEM 129.812500 1653979301.9388
MEM 131.722656 1653979302.0396
MEM 133.015625 1653979302.1398
MEM 139.164062 1653979302.2401
MEM 146.222656 1653979302.3404
MEM 151.351562 1653979302.4405
MEM 151.660156 1653979302.5441
MEM 152.609375 1653979302.6443
MEM 154.230469 1653979302.7495
MEM 162.820312 1653979302.8498
MEM 169.148438 1653979302.9500
MEM 173.449219 1653979303.0508
MEM 182.246094 1653979303.1511
MEM 195.500000 1653979303.2523
MEM 207.949219 1653979303.3531
MEM 214.808594 1653979303.4533
MEM 232.117188 1653979303.5538
MEM 261.523438 1653979303.6590
MEM 282.347656 1653979303.7592
MEM 288.160156 1653979303.8597
MEM 291.593750 1653979303.9649
MEM 292.402344 1653979304.0652
MEM 297.468750 1653979304.1655
MEM 302.980469 1653979304.2661
MEM 321.582031 1653979304.3713
MEM 313.203125 1653979304.4754
MEM 313.203125 1653979304.5758
MEM 313.203125 1653979304.6810
MEM 313.203125 1653979304.7815
MEM 313.203125 1653979304.8847
MEM 313.203125 1653979304.9855
MEM 314.152344 1653979305.0885
MEM 312.398438 1653979305.1904
MEM 313.800781 1653979305.2926
MEM 313.722656 1653979305.3936
MEM 313.707031 1653979305.4947
MEM 313.972656 1653979305.5955
MEM 313.687500 1653979305.6966
MEM 312.914062 1653979305.7976
MEM 314.054688 1653979305.8987
MEM 313.312500 1653979305.9990
MEM 313.847656 1653979306.0995
MEM 313.734375 1653979306.2039
MEM 313.640625 1653979306.3091
MEM 316.140625 1653979306.4131
MEM 331.984375 1653979306.5141
MEM 332.367188 1653979306.6149
MEM 351.558594 1653979306.7158
MEM 371.562500 1653979306.8170
MEM 392.101562 1653979306.9179
MEM 484.593750 1653979307.0189
MEM 429.281250 1653979307.1194
MEM 591.910156 1653979307.2201
MEM 479.734375 1653979307.3208
MEM 556.851562 1653979307.4213
MEM 640.171875 1653979307.5265
MEM 710.363281 1653979307.6280
MEM 709.890625 1653979307.7308
MEM 708.625000 1653979307.8343
MEM 321.992188 1653979307.9355
MEM 320.894531 1653979308.0407
