CMDLINE /Users/a.p.chikov/Library/Caches/pypoetry/virtualenvs/etna-ts-5LkX4_TY-py3.8/bin/python new_logic_inplace.py
MEM 0.011719 1653979292.4647
MEM 12.500000 1653979292.5678
MEM 21.488281 1653979292.6685
MEM 29.832031 1653979292.7688
MEM 37.703125 1653979292.8702
MEM 49.285156 1653979292.9705
MEM 60.828125 1653979293.0707
MEM 72.746094 1653979293.1745
MEM 82.816406 1653979293.2753
MEM 91.222656 1653979293.3755
MEM 100.222656 1653979293.4806
MEM 106.445312 1653979293.5810
MEM 114.925781 1653979293.6815
MEM 123.125000 1653979293.7835
MEM 126.304688 1653979293.8886
MEM 127.375000 1653979293.9924
MEM 130.511719 1653979294.0970
MEM 131.808594 1653979294.1987
MEM 133.316406 1653979294.2991
MEM 139.703125 1653979294.3993
MEM 146.589844 1653979294.4995
MEM 151.406250 1653979294.5996
MEM 151.699219 1653979294.6999
MEM 153.191406 1653979294.8013
MEM 154.242188 1653979294.9027
MEM 163.562500 1653979295.0030
MEM 169.589844 1653979295.1034
MEM 174.171875 1653979295.2041
MEM 182.246094 1653979295.3044
MEM 195.597656 1653979295.4096
MEM 208.296875 1653979295.5147
MEM 215.742188 1653979295.6156
MEM 232.160156 1653979295.7186
MEM 261.890625 1653979295.8239
MEM 282.214844 1653979295.9244
MEM 288.289062 1653979296.0255
MEM 291.394531 1653979296.1307
MEM 292.191406 1653979296.2311
MEM 297.292969 1653979296.3315
MEM 302.765625 1653979296.4322
MEM 320.632812 1653979296.5363
MEM 313.039062 1653979296.6406
MEM 313.042969 1653979296.7414
MEM 313.042969 1653979296.8455
MEM 313.042969 1653979296.9482
MEM 313.058594 1653979297.0492
MEM 313.058594 1653979297.1498
MEM 311.492188 1653979297.2551
MEM 312.464844 1653979297.3603
MEM 312.343750 1653979297.4615
MEM 312.347656 1653979297.5667
MEM 312.410156 1653979297.6720
MEM 312.816406 1653979297.7773
MEM 312.355469 1653979297.8824
MEM 312.925781 1653979297.9877
MEM 312.281250 1653979298.0883
MEM 312.937500 1653979298.1891
MEM 312.738281 1653979298.2904
MEM 314.496094 1653979298.3957
MEM 329.144531 1653979298.4982
MEM 334.886719 1653979298.6014
MEM 356.066406 1653979298.7066
MEM 375.980469 1653979298.8068
MEM 397.628906 1653979298.9119
MEM 418.300781 1653979299.0164
MEM 527.312500 1653979299.1216
MEM 476.058594 1653979299.2267
MEM 482.914062 1653979299.3319
MEM 394.125000 1653979299.4371
MEM 393.796875 1653979299.5424
MEM 314.402344 1653979299.6456
MEM 313.402344 1653979299.7508
