CMDLINE /Users/a.p.chikov/Library/Caches/pypoetry/virtualenvs/etna-ts-5LkX4_TY-py3.8/bin/python old_logic.py
MEM 0.011719 1653979284.6216
MEM 11.824219 1653979284.7218
MEM 20.289062 1653979284.8227
MEM 28.953125 1653979284.9246
MEM 37.136719 1653979285.0267
MEM 47.335938 1653979285.1270
MEM 59.691406 1653979285.2273
MEM 70.554688 1653979285.3281
MEM 81.062500 1653979285.4333
MEM 89.257812 1653979285.5336
MEM 99.132812 1653979285.6339
MEM 103.863281 1653979285.7344
MEM 112.367188 1653979285.8346
MEM 122.003906 1653979285.9356
MEM 125.769531 1653979286.0368
MEM 126.890625 1653979286.1418
MEM 129.589844 1653979286.2457
MEM 131.710938 1653979286.3502
MEM 132.656250 1653979286.4511
MEM 138.265625 1653979286.5515
MEM 145.652344 1653979286.6518
MEM 151.472656 1653979286.7521
MEM 151.589844 1653979286.8573
MEM 152.421875 1653979286.9578
MEM 154.292969 1653979287.0590
MEM 162.367188 1653979287.1615
MEM 168.136719 1653979287.2667
MEM 172.390625 1653979287.3718
MEM 181.273438 1653979287.4769
MEM 194.609375 1653979287.5821
MEM 207.574219 1653979287.6873
MEM 214.343750 1653979287.7925
MEM 229.984375 1653979287.8967
MEM 251.253906 1653979288.0018
MEM 281.195312 1653979288.1024
MEM 287.039062 1653979288.2028
MEM 291.457031 1653979288.3080
MEM 292.230469 1653979288.4132
MEM 296.660156 1653979288.5139
MEM 302.136719 1653979288.6142
MEM 317.226562 1653979288.7194
MEM 313.191406 1653979288.8246
MEM 313.191406 1653979288.9260
MEM 313.191406 1653979289.0312
MEM 313.191406 1653979289.1315
MEM 313.191406 1653979289.2365
MEM 313.191406 1653979289.3415
MEM 312.750000 1653979289.4465
MEM 312.980469 1653979289.5502
MEM 313.234375 1653979289.6554
MEM 312.390625 1653979289.7576
MEM 312.398438 1653979289.8628
MEM 312.398438 1653979289.9669
MEM 312.636719 1653979290.0721
MEM 312.398438 1653979290.1773
MEM 312.750000 1653979290.2824
MEM 313.480469 1653979290.3875
MEM 312.781250 1653979290.4927
MEM 321.000000 1653979290.5932
MEM 319.085938 1653979290.6934
MEM 338.683594 1653979290.7953
MEM 359.312500 1653979290.8993
MEM 380.394531 1653979291.0022
MEM 405.148438 1653979291.1027
MEM 439.828125 1653979291.2079
MEM 542.722656 1653979291.3120
MEM 508.062500 1653979291.4150
MEM 522.507812 1653979291.5194
MEM 395.089844 1653979291.6205
MEM 394.781250 1653979291.7216
MEM 314.644531 1653979291.8226
MEM 314.203125 1653979291.9236
